DIV_NUM,DIV_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_GRADUATE_CNT,PS_ENROLLMENT_CNT,PS_ENROLLMENT_RATE
1,Accomack County ,3,F,N,N,Y,41,28,0.682926829
1,Accomack County ,5,F,N,N,N,44,30,0.681818182
1,Accomack County ,5,F,N,N,Y,31,19,0.612903226
1,Accomack County ,3,M,N,N,N,12,5,0.416666667
1,Accomack County ,3,M,N,N,Y,45,20,0.444444444
1,Accomack County ,4,M,N,Y,Y,18,7,0.388888889
1,Accomack County ,5,M,N,N,N,69,35,0.507246377
1,Accomack County ,5,M,N,N,Y,18,6,0.333333333
2,Albemarle County ,2,F,N,N,N,15,10,0.666666667
2,Albemarle County ,3,F,N,N,N,28,23,0.821428571
2,Albemarle County ,3,F,N,N,Y,22,9,0.409090909
2,Albemarle County ,4,F,N,N,N,17,11,0.647058824
2,Albemarle County ,4,F,N,Y,Y,10,2,0.2
2,Albemarle County ,5,F,N,N,N,303,258,0.851485149
2,Albemarle County ,5,F,N,N,Y,27,17,0.62962963
2,Albemarle County ,5,F,Y,N,N,13,12,0.923076923
2,Albemarle County ,99,F,N,N,N,14,14,1
2,Albemarle County ,2,M,N,N,N,10,9,0.9
2,Albemarle County ,3,M,N,N,N,24,18,0.75
2,Albemarle County ,3,M,N,N,Y,18,8,0.444444444
2,Albemarle County ,4,M,N,N,N,13,10,0.769230769
2,Albemarle County ,4,M,N,Y,Y,13,5,0.384615385
2,Albemarle County ,5,M,N,N,N,295,239,0.810169492
2,Albemarle County ,5,M,N,N,Y,19,4,0.210526316
2,Albemarle County ,5,M,Y,N,N,29,15,0.517241379
2,Albemarle County ,99,M,N,N,N,11,9,0.818181818
3,Alleghany County ,5,F,N,N,N,59,48,0.813559322
3,Alleghany County ,5,F,N,N,Y,23,15,0.652173913
3,Alleghany County ,5,M,N,N,N,45,26,0.577777778
3,Alleghany County ,5,M,N,N,Y,29,13,0.448275862
4,Amelia County ,5,F,N,N,N,31,23,0.741935484
4,Amelia County ,5,F,N,N,Y,18,12,0.666666667
4,Amelia County ,3,M,N,N,N,10,4,0.4
4,Amelia County ,5,M,N,N,N,33,17,0.515151515
4,Amelia County ,5,M,N,N,Y,16,4,0.25
5,Amherst County ,3,F,N,N,N,25,16,0.64
5,Amherst County ,5,F,N,N,N,75,47,0.626666667
5,Amherst County ,5,F,N,N,Y,19,12,0.631578947
5,Amherst County ,3,M,N,N,N,12,6,0.5
5,Amherst County ,3,M,N,N,Y,14,9,0.642857143
5,Amherst County ,5,M,N,N,N,76,38,0.5
5,Amherst County ,5,M,N,N,Y,20,6,0.3
5,Amherst County ,5,M,Y,N,N,10,2,0.2
6,Appomattox County ,3,F,N,N,Y,15,6,0.4
6,Appomattox County ,5,F,N,N,N,33,26,0.787878788
6,Appomattox County ,5,F,N,N,Y,18,10,0.555555556
6,Appomattox County ,5,M,N,N,N,31,18,0.580645161
6,Appomattox County ,5,M,N,N,Y,10,3,0.3
7,Arlington County ,2,F,N,N,N,27,27,1
7,Arlington County ,2,F,N,Y,Y,13,9,0.692307692
7,Arlington County ,3,F,N,N,N,35,26,0.742857143
7,Arlington County ,3,F,N,N,Y,30,27,0.9
7,Arlington County ,3,F,N,Y,Y,12,7,0.583333333
7,Arlington County ,4,F,N,N,N,47,41,0.872340426
7,Arlington County ,4,F,N,Y,N,24,13,0.541666667
7,Arlington County ,4,F,N,N,Y,31,28,0.903225806
7,Arlington County ,4,F,N,Y,Y,58,37,0.637931034
7,Arlington County ,5,F,N,N,N,258,226,0.875968992
7,Arlington County ,5,F,Y,N,N,15,13,0.866666667
7,Arlington County ,99,F,N,N,N,23,16,0.695652174
7,Arlington County ,2,M,N,N,N,26,24,0.923076923
7,Arlington County ,2,M,N,Y,N,13,8,0.615384615
7,Arlington County ,2,M,N,Y,Y,20,13,0.65
7,Arlington County ,3,M,N,N,N,38,28,0.736842105
7,Arlington County ,3,M,N,N,Y,20,16,0.8
7,Arlington County ,3,M,N,Y,Y,13,10,0.769230769
7,Arlington County ,3,M,Y,N,N,10,7,0.7
7,Arlington County ,4,M,N,N,N,40,31,0.775
7,Arlington County ,4,M,N,Y,N,30,16,0.533333333
7,Arlington County ,4,M,N,N,Y,21,18,0.857142857
7,Arlington County ,4,M,N,Y,Y,57,32,0.561403509
7,Arlington County ,4,M,Y,Y,Y,11,6,0.545454545
7,Arlington County ,5,M,N,N,N,263,226,0.859315589
7,Arlington County ,5,M,Y,N,N,45,32,0.711111111
7,Arlington County ,99,M,N,N,N,20,16,0.8
8,Augusta County ,5,F,N,N,N,264,199,0.753787879
8,Augusta County ,5,F,N,N,Y,68,31,0.455882353
8,Augusta County ,5,M,N,N,N,273,142,0.52014652
8,Augusta County ,5,M,N,N,Y,64,18,0.28125
9,Bath County ,5,F,N,N,N,10,9,0.9
9,Bath County ,5,M,N,N,N,20,15,0.75
10,Bedford County ,3,F,N,N,N,17,12,0.705882353
10,Bedford County ,3,F,N,N,Y,11,3,0.272727273
10,Bedford County ,5,F,N,N,N,261,190,0.727969349
10,Bedford County ,5,F,N,N,Y,85,42,0.494117647
10,Bedford County ,3,M,N,N,N,16,12,0.75
10,Bedford County ,5,M,N,N,N,256,164,0.640625
10,Bedford County ,5,M,N,N,Y,58,18,0.310344828
10,Bedford County ,5,M,Y,N,N,12,2,0.166666667
11,Bland County ,5,F,N,N,N,24,22,0.916666667
11,Bland County ,5,M,N,N,N,16,10,0.625
12,Botetourt County ,5,F,N,N,N,144,123,0.854166667
12,Botetourt County ,5,F,N,N,Y,27,11,0.407407407
12,Botetourt County ,5,M,N,N,N,140,101,0.721428571
12,Botetourt County ,5,M,N,N,Y,22,6,0.272727273
12,Botetourt County ,5,M,Y,N,N,16,6,0.375
13,Brunswick County ,3,F,N,N,N,30,21,0.7
13,Brunswick County ,3,F,N,N,Y,26,12,0.461538462
13,Brunswick County ,3,M,N,N,N,26,14,0.538461538
13,Brunswick County ,5,M,N,N,N,11,2,0.181818182
14,Buchanan County ,5,F,N,N,N,30,23,0.766666667
14,Buchanan County ,5,F,N,N,Y,59,39,0.661016949
14,Buchanan County ,5,M,N,N,N,38,28,0.736842105
14,Buchanan County ,5,M,N,N,Y,53,29,0.547169811
15,Buckingham County ,3,F,N,N,Y,15,8,0.533333333
15,Buckingham County ,5,F,N,N,N,23,17,0.739130435
15,Buckingham County ,5,F,N,N,Y,12,6,0.5
15,Buckingham County ,3,M,N,N,Y,10,4,0.4
15,Buckingham County ,5,M,N,N,N,27,10,0.37037037
15,Buckingham County ,5,M,N,N,Y,12,6,0.5
16,Campbell County ,3,F,N,N,N,17,11,0.647058824
16,Campbell County ,3,F,N,N,Y,27,12,0.444444444
16,Campbell County ,5,F,N,N,N,168,116,0.69047619
16,Campbell County ,5,F,N,N,Y,52,28,0.538461538
16,Campbell County ,3,M,N,N,N,22,16,0.727272727
16,Campbell County ,3,M,N,N,Y,24,12,0.5
16,Campbell County ,5,M,N,N,N,153,111,0.725490196
16,Campbell County ,5,M,N,N,Y,37,18,0.486486486
16,Campbell County ,5,M,Y,N,N,17,3,0.176470588
16,Campbell County ,5,M,Y,N,Y,10,1,0.1
17,Caroline County ,3,F,N,N,N,22,17,0.772727273
17,Caroline County ,3,F,N,N,Y,23,15,0.652173913
17,Caroline County ,5,F,N,N,N,34,22,0.647058824
17,Caroline County ,5,F,N,N,Y,41,21,0.512195122
17,Caroline County ,3,M,N,N,N,19,8,0.421052632
17,Caroline County ,3,M,N,N,Y,13,6,0.461538462
17,Caroline County ,5,M,N,N,N,27,9,0.333333333
17,Caroline County ,5,M,N,N,Y,25,12,0.48
18,Carroll County ,5,F,N,N,N,68,47,0.691176471
18,Carroll County ,5,F,N,N,Y,37,21,0.567567568
18,Carroll County ,5,M,N,N,N,68,43,0.632352941
18,Carroll County ,5,M,N,N,Y,45,17,0.377777778
18,Carroll County ,5,M,Y,N,Y,12,2,0.166666667
19,Charles City County ,3,M,N,N,Y,11,5,0.454545455
20,Charlotte County ,3,F,N,N,Y,14,9,0.642857143
20,Charlotte County ,5,F,N,N,N,24,24,1
20,Charlotte County ,5,F,N,N,Y,13,11,0.846153846
20,Charlotte County ,5,M,N,N,N,32,14,0.4375
21,Chesterfield County ,2,F,N,N,N,63,54,0.857142857
21,Chesterfield County ,3,F,N,N,N,424,327,0.771226415
21,Chesterfield County ,3,F,N,N,Y,168,113,0.672619048
21,Chesterfield County ,3,F,Y,N,N,12,4,0.333333333
21,Chesterfield County ,4,F,N,N,N,116,88,0.75862069
21,Chesterfield County ,4,F,N,Y,N,25,8,0.32
21,Chesterfield County ,4,F,N,N,Y,35,17,0.485714286
21,Chesterfield County ,4,F,N,Y,Y,32,12,0.375
21,Chesterfield County ,5,F,N,N,N,1020,834,0.817647059
21,Chesterfield County ,5,F,N,N,Y,96,56,0.583333333
21,Chesterfield County ,5,F,Y,N,N,37,21,0.567567568
21,Chesterfield County ,99,F,N,N,N,68,50,0.735294118
21,Chesterfield County ,99,F,N,N,Y,19,14,0.736842105
21,Chesterfield County ,2,M,N,N,N,50,47,0.94
21,Chesterfield County ,3,M,N,N,N,378,257,0.67989418
21,Chesterfield County ,3,M,N,N,Y,145,73,0.503448276
21,Chesterfield County ,3,M,Y,N,N,39,18,0.461538462
21,Chesterfield County ,3,M,Y,N,Y,26,7,0.269230769
21,Chesterfield County ,4,M,N,N,N,84,47,0.55952381
21,Chesterfield County ,4,M,N,Y,N,39,12,0.307692308
21,Chesterfield County ,4,M,N,N,Y,37,17,0.459459459
21,Chesterfield County ,4,M,N,Y,Y,31,10,0.322580645
21,Chesterfield County ,5,M,N,N,N,974,704,0.722792608
21,Chesterfield County ,5,M,N,N,Y,83,33,0.397590361
21,Chesterfield County ,5,M,Y,N,N,80,39,0.4875
21,Chesterfield County ,5,M,Y,N,Y,11,1,0.090909091
21,Chesterfield County ,99,M,N,N,N,44,35,0.795454545
21,Chesterfield County ,99,M,N,N,Y,10,3,0.3
22,Clarke County ,5,F,N,N,N,60,47,0.783333333
22,Clarke County ,5,M,N,N,N,81,51,0.62962963
23,Craig County ,5,F,N,N,N,12,9,0.75
23,Craig County ,5,F,N,N,Y,12,11,0.916666667
24,Culpeper County ,3,F,N,N,N,21,14,0.666666667
24,Culpeper County ,3,F,N,N,Y,22,9,0.409090909
24,Culpeper County ,4,F,N,N,N,12,8,0.666666667
24,Culpeper County ,4,F,N,N,Y,13,3,0.230769231
24,Culpeper County ,5,F,N,N,N,137,102,0.744525547
24,Culpeper County ,5,F,N,N,Y,37,19,0.513513514
24,Culpeper County ,3,M,N,N,N,21,16,0.761904762
24,Culpeper County ,3,M,N,N,Y,13,6,0.461538462
24,Culpeper County ,4,M,N,N,Y,15,8,0.533333333
24,Culpeper County ,5,M,N,N,N,133,67,0.503759398
24,Culpeper County ,5,M,N,N,Y,25,8,0.32
25,Cumberland County ,5,F,N,N,N,13,11,0.846153846
25,Cumberland County ,5,F,N,N,Y,14,7,0.5
25,Cumberland County ,3,M,N,N,Y,11,4,0.363636364
25,Cumberland County ,5,M,N,N,N,12,9,0.75
25,Cumberland County ,5,M,N,N,Y,10,4,0.4
26,Dickenson County ,5,F,N,N,N,47,32,0.680851064
26,Dickenson County ,5,F,N,N,Y,49,22,0.448979592
26,Dickenson County ,5,M,N,N,N,34,22,0.647058824
26,Dickenson County ,5,M,N,N,Y,25,11,0.44
27,Dinwiddie County ,3,F,N,N,N,21,20,0.952380952
27,Dinwiddie County ,3,F,N,N,Y,42,32,0.761904762
27,Dinwiddie County ,5,F,N,N,N,46,35,0.760869565
27,Dinwiddie County ,5,F,N,N,Y,19,12,0.631578947
27,Dinwiddie County ,3,M,N,N,N,20,14,0.7
27,Dinwiddie County ,3,M,N,N,Y,21,9,0.428571429
27,Dinwiddie County ,5,M,N,N,N,53,32,0.603773585
27,Dinwiddie County ,5,M,N,N,Y,19,4,0.210526316
28,Essex County ,3,F,N,N,Y,20,11,0.55
28,Essex County ,5,F,N,N,N,18,15,0.833333333
28,Essex County ,3,M,N,N,Y,16,5,0.3125
28,Essex County ,5,M,N,N,N,17,11,0.647058824
29,Fairfax County ,1,F,N,N,N,11,9,0.818181818
29,Fairfax County ,2,F,N,N,N,839,752,0.896305125
29,Fairfax County ,2,F,N,Y,N,118,88,0.745762712
29,Fairfax County ,2,F,N,N,Y,188,172,0.914893617
29,Fairfax County ,2,F,N,Y,Y,124,90,0.725806452
29,Fairfax County ,2,F,Y,N,N,13,11,0.846153846
29,Fairfax County ,2,F,Y,Y,N,19,13,0.684210526
29,Fairfax County ,2,F,Y,Y,Y,10,7,0.7
29,Fairfax County ,3,F,N,N,N,334,291,0.871257485
29,Fairfax County ,3,F,N,Y,N,41,36,0.87804878
29,Fairfax County ,3,F,N,N,Y,184,151,0.820652174
29,Fairfax County ,3,F,N,Y,Y,63,50,0.793650794
29,Fairfax County ,3,F,Y,N,N,23,21,0.913043478
29,Fairfax County ,3,F,Y,N,Y,35,22,0.628571429
29,Fairfax County ,4,F,N,N,N,379,320,0.844327177
29,Fairfax County ,4,F,N,Y,N,102,50,0.490196078
29,Fairfax County ,4,F,N,N,Y,198,144,0.727272727
29,Fairfax County ,4,F,N,Y,Y,269,120,0.446096654
29,Fairfax County ,4,F,Y,N,N,19,13,0.684210526
29,Fairfax County ,4,F,Y,Y,N,28,12,0.428571429
29,Fairfax County ,4,F,Y,N,Y,11,8,0.727272727
29,Fairfax County ,4,F,Y,Y,Y,67,41,0.611940299
29,Fairfax County ,5,F,N,N,N,2355,2123,0.9014862
29,Fairfax County ,5,F,N,Y,N,48,41,0.854166667
29,Fairfax County ,5,F,N,N,Y,87,70,0.804597701
29,Fairfax County ,5,F,N,Y,Y,47,40,0.85106383
29,Fairfax County ,5,F,Y,N,N,193,133,0.689119171
29,Fairfax County ,5,F,Y,N,Y,16,9,0.5625
29,Fairfax County ,5,F,Y,Y,Y,12,8,0.666666667
29,Fairfax County ,99,F,N,N,N,253,234,0.924901186
29,Fairfax County ,99,F,N,N,Y,26,17,0.653846154
29,Fairfax County ,2,M,N,N,N,822,735,0.894160584
29,Fairfax County ,2,M,N,Y,N,177,121,0.683615819
29,Fairfax County ,2,M,N,N,Y,150,132,0.88
29,Fairfax County ,2,M,N,Y,Y,156,109,0.698717949
29,Fairfax County ,2,M,Y,N,N,20,15,0.75
29,Fairfax County ,2,M,Y,Y,N,30,18,0.6
29,Fairfax County ,2,M,Y,Y,Y,13,10,0.769230769
29,Fairfax County ,3,M,N,N,N,291,244,0.838487973
29,Fairfax County ,3,M,N,Y,N,45,37,0.822222222
29,Fairfax County ,3,M,N,N,Y,136,94,0.691176471
29,Fairfax County ,3,M,N,Y,Y,82,59,0.719512195
29,Fairfax County ,3,M,Y,N,N,52,39,0.75
29,Fairfax County ,3,M,Y,N,Y,35,18,0.514285714
29,Fairfax County ,3,M,Y,Y,Y,16,13,0.8125
29,Fairfax County ,4,M,N,N,N,365,284,0.778082192
29,Fairfax County ,4,M,N,Y,N,129,50,0.387596899
29,Fairfax County ,4,M,N,N,Y,194,118,0.608247423
29,Fairfax County ,4,M,N,Y,Y,288,98,0.340277778
29,Fairfax County ,4,M,Y,N,N,48,31,0.645833333
29,Fairfax County ,4,M,Y,Y,N,51,23,0.450980392
29,Fairfax County ,4,M,Y,N,Y,20,10,0.5
29,Fairfax County ,4,M,Y,Y,Y,87,36,0.413793103
29,Fairfax County ,5,M,N,N,N,2348,2003,0.85306644
29,Fairfax County ,5,M,N,Y,N,71,49,0.690140845
29,Fairfax County ,5,M,N,N,Y,84,67,0.797619048
29,Fairfax County ,5,M,N,Y,Y,61,44,0.721311475
29,Fairfax County ,5,M,Y,N,N,321,214,0.666666667
29,Fairfax County ,5,M,Y,Y,N,23,14,0.608695652
29,Fairfax County ,5,M,Y,N,Y,16,6,0.375
29,Fairfax County ,5,M,Y,Y,Y,10,7,0.7
29,Fairfax County ,99,M,N,N,N,231,196,0.848484848
29,Fairfax County ,99,M,N,N,Y,23,18,0.782608696
29,Fairfax County ,99,M,Y,N,N,24,14,0.583333333
30,Fauquier County ,3,F,N,N,N,18,12,0.666666667
30,Fauquier County ,3,F,N,N,Y,17,12,0.705882353
30,Fauquier County ,4,F,N,N,Y,12,10,0.833333333
30,Fauquier County ,5,F,N,N,N,290,232,0.8
30,Fauquier County ,5,F,N,N,Y,31,18,0.580645161
30,Fauquier County ,5,F,Y,N,N,17,7,0.411764706
30,Fauquier County ,99,F,N,N,N,11,10,0.909090909
30,Fauquier County ,3,M,N,N,N,15,11,0.733333333
30,Fauquier County ,3,M,N,N,Y,14,7,0.5
30,Fauquier County ,4,M,N,N,N,16,9,0.5625
30,Fauquier County ,5,M,N,N,N,293,200,0.682593857
30,Fauquier County ,5,M,N,N,Y,30,10,0.333333333
30,Fauquier County ,5,M,Y,N,N,26,12,0.461538462
30,Fauquier County ,99,M,N,N,N,17,9,0.529411765
31,Floyd County ,5,F,N,N,N,39,30,0.769230769
31,Floyd County ,5,F,N,N,Y,12,7,0.583333333
31,Floyd County ,5,M,N,N,N,58,28,0.482758621
31,Floyd County ,5,M,N,N,Y,15,7,0.466666667
32,Fluvanna County ,3,F,N,N,N,12,9,0.75
32,Fluvanna County ,3,F,N,N,Y,10,6,0.6
32,Fluvanna County ,5,F,N,N,N,76,62,0.815789474
32,Fluvanna County ,5,F,N,N,Y,11,4,0.363636364
32,Fluvanna County ,5,M,N,N,N,81,48,0.592592593
33,Franklin County ,3,F,N,N,N,14,10,0.714285714
33,Franklin County ,3,F,N,N,Y,10,5,0.5
33,Franklin County ,5,F,N,N,N,122,93,0.762295082
33,Franklin County ,5,F,N,N,Y,55,29,0.527272727
33,Franklin County ,5,M,N,N,N,122,82,0.672131148
33,Franklin County ,5,M,N,N,Y,43,11,0.255813953
33,Franklin County ,5,M,Y,N,N,14,2,0.142857143
34,Frederick County ,3,F,N,N,N,16,9,0.5625
34,Frederick County ,4,F,N,N,N,16,11,0.6875
34,Frederick County ,4,F,N,N,Y,16,10,0.625
34,Frederick County ,4,F,N,Y,Y,16,6,0.375
34,Frederick County ,5,F,N,N,N,283,221,0.780918728
34,Frederick County ,5,F,N,N,Y,55,34,0.618181818
34,Frederick County ,99,F,N,N,N,11,8,0.727272727
34,Frederick County ,3,M,N,N,N,10,8,0.8
34,Frederick County ,4,M,N,N,N,11,6,0.545454545
34,Frederick County ,4,M,N,N,Y,17,6,0.352941176
34,Frederick County ,5,M,N,N,N,265,169,0.637735849
34,Frederick County ,5,M,N,N,Y,63,24,0.380952381
34,Frederick County ,5,M,Y,N,N,21,10,0.476190476
35,Giles County ,5,F,N,N,N,55,38,0.690909091
35,Giles County ,5,F,N,N,Y,21,13,0.619047619
35,Giles County ,5,M,N,N,N,39,31,0.794871795
35,Giles County ,5,M,N,N,Y,23,11,0.47826087
36,Gloucester County ,3,F,N,N,N,10,6,0.6
36,Gloucester County ,5,F,N,N,N,131,90,0.687022901
36,Gloucester County ,5,F,N,N,Y,24,9,0.375
36,Gloucester County ,5,M,N,N,N,102,53,0.519607843
36,Gloucester County ,5,M,N,N,Y,27,8,0.296296296
36,Gloucester County ,5,M,Y,N,N,11,1,0.090909091
37,Goochland County ,5,F,N,N,N,54,42,0.777777778
37,Goochland County ,5,M,N,N,N,73,48,0.657534247
37,Goochland County ,5,M,N,N,Y,11,5,0.454545455
38,Grayson County ,5,F,N,N,N,30,23,0.766666667
38,Grayson County ,5,F,N,N,Y,21,14,0.666666667
38,Grayson County ,5,M,N,N,N,30,21,0.7
38,Grayson County ,5,M,N,N,Y,19,6,0.315789474
39,Greene County ,5,F,N,N,N,46,34,0.739130435
39,Greene County ,5,F,N,N,Y,16,7,0.4375
39,Greene County ,5,M,N,N,N,66,36,0.545454545
39,Greene County ,5,M,N,N,Y,13,4,0.307692308
40,Greensville County ,3,F,N,N,Y,47,32,0.680851064
40,Greensville County ,5,F,N,N,N,16,15,0.9375
40,Greensville County ,3,M,N,N,Y,34,14,0.411764706
40,Greensville County ,5,M,N,N,N,19,8,0.421052632
41,Halifax County ,3,F,N,N,N,29,21,0.724137931
41,Halifax County ,3,F,N,N,Y,52,34,0.653846154
41,Halifax County ,5,F,N,N,N,61,39,0.639344262
41,Halifax County ,5,F,N,N,Y,34,8,0.235294118
41,Halifax County ,3,M,N,N,N,20,11,0.55
41,Halifax County ,3,M,N,N,Y,44,22,0.5
41,Halifax County ,5,M,N,N,N,58,26,0.448275862
41,Halifax County ,5,M,N,N,Y,16,7,0.4375
42,Hanover County ,3,F,N,N,N,49,33,0.673469388
42,Hanover County ,4,F,N,N,N,12,10,0.833333333
42,Hanover County ,5,F,N,N,N,533,443,0.831144465
42,Hanover County ,5,F,N,N,Y,19,9,0.473684211
42,Hanover County ,5,F,Y,N,N,20,11,0.55
42,Hanover County ,99,F,N,N,N,14,11,0.785714286
42,Hanover County ,3,M,N,N,N,52,35,0.673076923
42,Hanover County ,3,M,N,N,Y,13,8,0.615384615
42,Hanover County ,4,M,N,N,N,15,10,0.666666667
42,Hanover County ,5,M,N,N,N,520,391,0.751923077
42,Hanover County ,5,M,N,N,Y,14,3,0.214285714
42,Hanover County ,5,M,Y,N,N,62,26,0.419354839
43,Henrico County ,2,F,N,N,N,83,77,0.927710843
43,Henrico County ,2,F,N,Y,N,13,9,0.692307692
43,Henrico County ,2,F,N,N,Y,21,20,0.952380952
43,Henrico County ,3,F,N,N,N,295,235,0.796610169
43,Henrico County ,3,F,N,N,Y,313,209,0.667731629
43,Henrico County ,3,F,Y,N,N,16,9,0.5625
43,Henrico County ,3,F,Y,N,Y,28,12,0.428571429
43,Henrico County ,4,F,N,N,N,53,44,0.830188679
43,Henrico County ,4,F,N,N,Y,37,25,0.675675676
43,Henrico County ,4,F,N,Y,Y,12,3,0.25
43,Henrico County ,5,F,N,N,N,607,526,0.866556837
43,Henrico County ,5,F,N,Y,N,10,7,0.7
43,Henrico County ,5,F,N,N,Y,66,43,0.651515152
43,Henrico County ,5,F,Y,N,N,30,20,0.666666667
43,Henrico County ,99,F,N,N,N,35,27,0.771428571
43,Henrico County ,99,F,N,N,Y,21,11,0.523809524
43,Henrico County ,2,M,N,N,N,93,79,0.849462366
43,Henrico County ,2,M,N,Y,N,14,10,0.714285714
43,Henrico County ,2,M,N,N,Y,16,13,0.8125
43,Henrico County ,2,M,N,Y,Y,13,10,0.769230769
